instance_size;density;lb_deviation;lb_hit;execution_time
(7, 7);LD;0.015709235279941808;83;0.21160712957382202
(7, 7);MD;0.02522066523457416;75;0.27825734376907346
(7, 7);HD;0.013594245398320057;91;0.14273631811141968
