instance_size;density;lb_deviation;lb_hit;execution_time
(4, 4);LD;0.013394564653919763;75;0.12500566720962525
(4, 4);MD;0.002189223794857598;97;0.05190526485443115
(4, 4);HD;8.982035928143712e-05;99;0.029746277332305907
(5, 5);LD;0.006443238114082526;86;0.176976957321167
(5, 5);MD;0.005920249494915053;90;0.13683247089385986
(5, 5);HD;0.001482484651498736;97;0.05136077404022217
(7, 7);LD;0.015683886737483003;84;0.5058037281036377
(7, 7);MD;0.025176072146502807;75;0.8351518106460571
(7, 7);HD;0.013586469348553338;91;0.3061438226699829
