instance_size;density;lb_deviation;lb_hit;execution_time
(4, 4);LD;0.011545004736804048;75;0.9662525510787964
(4, 4);MD;0.002537886262192431;94;0.36285956621170046
(4, 4);HD;0.0002064384350831864;98;0.13355806350708008
(5, 5);LD;0.007621386753524793;84;0.8571663808822632
(5, 5);MD;0.0062950531551880864;85;0.6352471613883972
(5, 5);HD;0.0015440103926487514;93;0.5729757690429688
(7, 7);LD;0.01633703889647504;77;3.4937578892707823
(7, 7);MD;0.0256247074089016;71;4.620953519344329
(7, 7);HD;0.013758462858380147;82;2.8643172097206118
