instance_size;density;lb_deviation;lb_hit;execution_time
(4, 4);LD;0.012927130982927868;74;0.39496556520462034
(4, 4);MD;0.002283917528425369;95;0.31081208467483523
(4, 4);HD;0.00018673763583943224;98;0.14568442821502686
(5, 5);LD;0.009406501530917141;82;0.7989229083061218
(5, 5);MD;0.0065069456098765825;79;1.1045367074012757
(5, 5);HD;0.0016446132032804216;92;0.8776801323890686
(7, 7);LD;0.017014360332926998;70;5.362055134773255
(7, 7);MD;0.026637064988237934;64;6.711034109592438
(7, 7);HD;0.014326285669648005;68;7.690549993515015
