instance_size,density,lb_deviation,lb_hit,execution_time
"(4, 4)",LD,0.012466207045645716,74,0.1377561616897583
"(4, 4)",MD,0.004745547600970059,91,0.07973222970962525
"(4, 4)",HD,0.0,100,0.0032036280632019042
"(5, 5)",LD,0.006441078425616703,85,0.22726786851882935
"(5, 5)",MD,0.013260308972189883,92,0.1561700224876404
"(5, 5)",HD,0.0014641744548286604,99,0.01951965570449829
"(7, 7)",LD,0.013073950690555468,78,1.095034637451172
"(7, 7)",MD,0.031722179607486425,73,1.3744550561904907
"(7, 7)",HD,0.0026478992672026376,92,0.411607563495636
