instance_size,density,lb_deviation,lb_hit,execution_time
4;4,LD,0.012466207045645716,74,0.24074095964431763
4;4,MD,0.004745547600970059,91,0.11135193109512329
4;4,HD,0.0,100,0.022802855968475342
5;5,LD,0.006323431366793173,85,0.2468929386138916
5;5,MD,0.013260308972189883,92,0.1400847864151001
5;5,HD,0.0014641744548286604,99,0.03517756223678589
7;7,LD,0.012985258894546596,78,1.1417951464653016
7;7,MD,0.03171419876151675,73,1.3293068146705627
7;7,HD,0.0026478992672026376,92,0.5712638187408448
